               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0080492,           0.0025823,                   0,                   0,                   0,                   0,                   0,             0.05152,           0.0088554,                   0,              0.0946,              0.0006,              0.0006
                   1,            0.029803,           0.0015083,                   0,                   0,                   0,                   0,                   0,            0.051448,           0.0081211,                   0,            0.088257,           0.0012571,           0.0012571
                   2,            0.021972,          0.00099586,                   0,                   0,                   0,                   0,                   0,            0.051893,           0.0071394,                   0,            0.081868,            0.001868,            0.001868
                   3,              0.0222,          0.00082725,                   0,                   0,                   0,                   0,                   0,            0.051804,           0.0062084,                   0,            0.075433,           0.0024327,           0.0024327
                   4,            0.014468,          0.00034009,                   0,                   0,                   0,                   0,                   0,            0.051695,            0.005526,                   0,            0.068951,           0.0029512,           0.0029512
                   5,             0.01461,           0.0004449,                   0,                   0,                   0,                   0,                   0,            0.051593,           0.0046503,                   0,            0.062423,           0.0034235,           0.0034235
                   6,            0.029241,          0.00025446,                   0,                   0,                   0,                   0,                   0,            0.051625,            0.004127,                   0,             0.05585,           0.0038496,           0.0038496
                   7,            0.044066,          0.00012831,                   0,                   0,                   0,                   0,                   0,            0.051667,            0.003001,                   0,             0.04923,           0.0042295,           0.0042295
                   8,                   0,          8.1376e-05,                   0,                   0,                   0,                   0,                   0,              0.0517,           0.0024805,                   0,            0.042563,           0.0045632,           0.0045632
                   9,            0.022004,          0.00013285,                   0,                   0,                   0,                   0,                   0,            0.051729,           0.0020482,                   0,            0.035851,           0.0048507,           0.0048507
                  10,           0.0074431,          8.2208e-05,                   0,                   0,                   0,                   0,                   0,            0.051787,           0.0012223,                   0,            0.029092,            0.005092,            0.005092
                  11,           0.0073655,          5.1508e-05,                   0,                   0,                   0,                   0,                   0,              0.0518,          0.00088369,                   0,            0.022287,           0.0052871,           0.0052871
                  12,            0.014907,          4.6506e-05,                   0,                   0,                   0,                   0,                   0,            0.051798,          0.00061063,                   0,            0.015436,            0.005436,            0.005436
                  13,            0.029581,          4.7649e-05,                   0,                   0,                   0,                   0,                   0,            0.051798,          0.00061063,                   0,           0.0085387,           0.0055387,           0.0055387
                  14,            0.029747,          8.1022e-05,                   0,                   0,                   0,                   0,                   0,            0.051796,          0.00043359,                   0,             0.00538,             0.00538,             0.00538
                  15,            0.029239,          5.7025e-05,                   0,                   0,                   0,                   0,                   0,              0.0518,          0.00032913,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.029178,          6.6584e-05,                   0,                   0,                   0,                   0,                   0,            0.051786,          0.00023441,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.021788,          8.5929e-05,                   0,                   0,                   0,                   0,                   0,            0.051884,          0.00017312,                   0,             0.00472,             0.00472,             0.00472
                  18,           0.0075486,          3.6141e-05,                   0,                   0,                   0,                   0,                   0,            0.051848,          0.00014786,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.022424,          5.1291e-05,                   0,                   0,                   0,                   0,                   0,            0.051465,          0.00025326,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.037086,          4.1389e-05,                   0,                   0,                   0,                   0,                   0,             0.05117,          0.00026188,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.037048,          5.9129e-05,                   0,                   0,                   0,                   0,                   0,             0.05117,          0.00026188,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.022175,          4.0964e-05,                   0,                   0,                   0,                   0,                   0,            0.050918,          0.00028739,                   0,             0.00307,             0.00307,             0.00307
                  23,                   0,          3.5001e-05,                   0,                   0,                   0,                   0,                   0,            0.050711,          0.00029625,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.014208,          5.8514e-05,                   0,                   0,                   0,                   0,                   0,            0.050704,          0.00028023,                   0,             0.00241,             0.00241,             0.00241
                  25,           0.0072096,          6.0047e-05,                   0,                   0,                   0,                   0,                   0,            0.051021,           0.0002086,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.029051,             8.9e-05,                   0,                   0,                   0,                   0,                   0,            0.051246,          0.00016364,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.02222,          3.5825e-05,                   0,                   0,                   0,                   0,                   0,            0.050795,            0.000197,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.03652,          7.7338e-05,                   0,                   0,                   0,                   0,                   0,             0.05134,          0.00010096,                   0,             0.00109,             0.00109,             0.00109
                  29,           0.0073918,          4.0249e-05,                   0,                   0,                   0,                   0,                   0,             0.05134,          0.00010096,                   0,             0.00076,             0.00076,             0.00076
